,cooks_d,hat_diag,student_resid,id,inducted,is_high_cooks,is_high_leverage,is_influential
2998,0.004576476069271554,0.034764164955320545,-1.63352604307094,Wally Schang,0,1,1,1
2999,1.0952988175143537e-06,0.0009319632687013937,-0.15702691236344396,Dan Schatzeder,0,0,0,0
3000,2.3064695738315127e-07,0.0004985904950729287,-0.09853788133337323,Carl Scheib,0,0,0,0
3002,3.249379583718735e-07,0.0005807547051006435,-0.10836458113855506,Dave Schmidt,0,0,0,0
3004,4.0868275179781663e-07,0.0009555196707863381,-0.09472735219933541,Johnny Schmitz,0,0,0,0
3005,7.574785948851777e-06,0.021186427172852337,0.08572667095817427,Mike Schmidt,1,0,1,1
3006,3.281112666338474e-07,0.0008668021054234314,-0.08911933454927361,Walter Schmidt,0,0,0,0
3008,0.00642812561062916,0.10119747950935146,1.0949621766919817,Red Schoendienst,1,1,1,1
3010,7.78029427688353e-06,0.0028817932266817173,-0.23776590291574234,Dick Schofield,0,0,0,0
3013,1.372551153448459e-07,0.0004109500874403154,-0.0837317413640282,Ossee Schrecongost,0,0,0,0
3014,2.1634567589841707e-06,0.001137192159483855,-0.19976516118551516,Pop Schriver,0,0,0,0
3015,0.00010565275565234823,0.017244241016165812,-0.35559104748498577,Frank Schulte,0,0,1,1
3016,6.223043673191177e-07,0.0009169978402889324,-0.11932397171502263,Fred Schulte,0,0,0,0
3017,2.1073670378221613e-07,0.0004797164594618163,-0.09602476097759259,Joe Schultz,0,0,0,0
3018,2.2957101870967795e-06,0.0017499563238032212,-0.16583425430111645,Hal Schumacher,0,0,0,0
3020,1.4763344294374997e-07,0.00045251240980563075,-0.0827539038367468,Ferdie Schupp,0,0,0,0
3021,3.582809815307812e-08,0.0002988558291263792,-0.050167880590767176,Mike Scioscia,0,0,0,0
3022,3.2358825461618826e-06,0.002226748957031761,-0.17449633982808174,Everett Scott,0,0,0,0
3023,2.2849752825166694e-06,0.005433529161565315,-0.0937187109587847,George Scott,0,0,0,0
3024,2.4371721451229343e-07,0.0004874891434304275,-0.10243877902471069,Jack Scott,0,0,0,0
3025,4.148313718480022e-05,0.012478373616916776,-0.26256676838295445,Mike Scott,0,0,0,0
3026,1.556015072186111e-07,0.00040873219242314657,-0.0893939960735453,Tony Scott,0,0,0,0
3030,2.03392890267477e-08,0.0008138390019447942,0.022899789328626723,Tom Seaver,1,0,0,0
3031,1.025692389648411e-05,0.00444292665566828,-0.2196932548513076,Dick Seay,0,0,0,0
3033,1.1491812519875646e-06,0.000955926631882468,-0.1588122346651497,Diego Segui,0,0,0,0
3035,4.826587595160933e-05,0.009026379447943354,-0.3335830670080786,Kip Selbach,0,0,0,0
3037,1.4617970027535225e-07,0.0004520705807111449,-0.08238570645021664,Dick Selma,0,0,0,0
3038,9.699291777153954e-08,0.0004854346497141616,-0.06476029773999116,Andy Seminick,0,0,0,0
3041,7.862974983294013e-07,0.0012429504493472589,-0.11518770231281743,Hank Severeid,0,0,0,0
3042,0.00024865907123200064,0.0430631568318933,0.34064381431842156,Joe Sewell,1,0,1,1
3043,0.0004121001350104299,0.031346464818563104,-0.5171314789654794,Luke Sewell,0,0,1,1
3044,2.4722521303731246e-05,0.007778610288925018,-0.2573411947616224,Rip Sewell,0,0,0,0
3046,9.78865212135779e-06,0.0034502538721510262,-0.2436660706938584,Cy Seymour,0,0,0,0
3047,1.4615329654458417e-06,0.0012663058140524636,-0.15558563818666138,Orator Shafer,0,0,0,0
3048,3.7769632627178362e-06,0.0024389490159612993,-0.18011480356760243,Howie Shanks,0,0,0,0
3049,0.0001136129800647744,0.0385871759613294,-0.24381312490266904,Bobby Shantz,0,0,1,1
3050,3.7769464730099296e-07,0.0005763522350423926,-0.11727646915469496,Joe Shaute,0,0,0,0
3051,1.1810013225990018e-07,0.000510653822855686,-0.06967237743235746,Bob Shaw,0,0,0,0
3053,1.0092092286919453e-06,0.0008557928711109456,-0.15730046598073566,Bob Shawkey,0,0,0,0
3054,4.599547779477965e-07,0.0009722723093927548,-0.09962355316309293,Merv Shea,0,0,0,0
3055,0.00011731184679701753,0.012171655266964437,-0.4471430690249293,Jimmy Sheckard,0,0,0,0
3058,1.0507570507716273e-07,0.0003777888233537853,-0.07641070378299554,John Shelby,0,0,0,0
3059,1.682121866296138e-06,0.0015954779695665949,-0.1486778387359302,Bill Sherdel,0,0,0,0
3060,1.799546072167822e-07,0.0008033450300523363,-0.06855917177466618,Larry Sherry,0,0,0,0
3063,4.378316517053257e-05,0.006487267351408124,-0.3752485692541926,Billy Shindle,0,0,0,0
3065,1.5794216080675486e-07,0.0005373120099122012,-0.07854683749226912,Bob Shirley,0,0,0,0
3066,2.182376543191358e-06,0.001261385776224899,-0.1904918703014533,George Shively,0,0,0,0
3067,9.478443207965721e-07,0.000977763614675556,-0.14260961092015484,George Shoch,0,0,0,0
3068,6.0053244398156615e-05,0.011281747718173031,-0.33244971797817013,Urban Shocker,0,0,0,0
3069,7.063811946311413e-07,0.0010114957065365392,-0.12103958759922857,Chris Short,0,0,0,0
3070,3.5738887771621226e-06,0.0030042297948664034,-0.15781934883301943,Burt Shotton,0,0,0,0
3071,3.7720622037293995e-07,0.0007147468808870725,-0.10523681002346433,Clyde Shoun,0,0,0,0
3073,1.5859828129230857e-07,0.0004828987819609797,-0.08302826164399826,Eric Show,0,0,0,0
3076,2.4666460054624276e-08,0.0003258063691923478,-0.0398669045619898,Dick Siebert,0,0,0,0
3077,9.956562358815773e-07,0.0013974799942655558,-0.1222328352496546,Norm Siebern,0,0,0,0
3078,8.648196970133482e-08,0.00038237873401056116,-0.06890369625747941,Sonny Siebert,0,0,0,0
3080,7.419645498224632e-05,0.018865762229375645,-0.2846611912792331,Roy Sievers,0,0,1,1
3081,1.1944701265291077e-07,0.0004096666641042733,-0.07823354406892583,Charlie Silvera,0,0,0,0
3082,1.3890211349362525e-09,0.00019626576961341956,0.012189872713345243,Al Simmons,1,0,0,0
3083,2.497887478354469e-05,0.007541904741791459,-0.2627312007883424,Curt Simmons,0,0,0,0
3084,0.014051958850383153,0.06168881444674218,2.1185968237835917,Ted Simmons,1,1,1,1
3085,5.044297544257461e-08,0.00033856600557744226,-0.0559261327736996,Harry Simpson,0,0,0,0
3086,6.396523166857697e-08,0.0003218964595210044,-0.06458826608348099,Duke Sims,0,0,0,0
3087,1.514930543667621e-07,0.0004386456628241,-0.08514395446885602,Matt Sinatro,0,0,0,0
3088,6.592021314174799e-07,0.0007420337598374583,-0.13653560722954347,Bill Singer,0,0,0,0
3089,2.913608098639823e-06,0.004557283700141958,-0.11560598521746877,Ken Singleton,0,0,0,0
3091,0.0030431080521678925,0.13886060037367698,0.6295287150459876,George Sisler,1,1,1,1
3092,4.166852589718689e-07,0.0006574741016845654,-0.11532715402835272,Sibby Sisti,0,0,0,0
3094,1.8341648590842933e-07,0.000886075403055398,-0.06590236452474278,Ted Sizemore,0,0,0,0
3095,2.4477898209562675e-07,0.0009390204096624843,-0.07395289711528608,Bob Skinner,0,0,0,0
3096,4.886759657540873e-06,0.004895782148404757,-0.1444253333587747,Bill Skowron,0,0,0,0
3097,4.3133086588539353e-07,0.0009568229038555969,-0.09725037031566663,Jimmy Slagle,0,0,0,0
3098,4.836860296001936e-07,0.0010145655511189496,-0.10000712474435482,Jim Slaton,0,0,0,0
3100,5.274523475860646e-08,0.0008144851058854965,0.036862327515566035,Enos Slaughter,1,0,0,0
3102,1.7386391123482604e-07,0.00046718927027922447,-0.0883825377567524,Roy Smalley,0,0,0,0
3103,4.339472636768293e-08,0.0003904149646308901,-0.048303667082519715,Roy Smalley,0,0,0,0
3105,1.0763538398405741e-07,0.0004980230473779307,-0.06735258794524017,Al Smith,0,0,0,0
3106,4.4766005196065505e-06,0.004892372370438209,-0.1382799115023662,Al Smith,0,0,0,0
3107,8.714170311658022e-07,0.0007909066222417681,-0.15205063986272666,Bob Smith,0,0,0,0
3108,2.7633473000322174e-07,0.0005925051863002663,-0.09893560314694826,Bob Smith,0,0,0,0
3109,4.4347144133426125e-07,0.000629305589282919,-0.12161159557214689,Bryn Smith,0,0,0,0
3110,1.48313399808833e-07,0.0004425336750638767,-0.08387461972249115,Charlie Smith,0,0,0,0
3111,5.317612412074101e-08,0.00030267140636527673,-0.06073185626925658,Charley Smith,0,0,0,0
3112,1.1424840657368767e-06,0.001223904993928745,-0.13992487880285814,Clarence Smith,0,0,0,0
3113,2.42506821353232e-07,0.0006027789209795197,-0.09188860689652235,Dave Smith,0,0,0,0
3114,8.118280692516578e-07,0.0012889169812595397,-0.11493416391089263,Earl Smith,0,0,0,0
3115,8.256051973203922e-08,0.0003694379362669583,-0.0684927927203423,Eddie Smith,0,0,0,0
3116,0.0001330898769553199,0.01274881311550519,-0.46522293192402253,Elmer Smith,0,0,0,0
3117,7.625781927859193e-07,0.0010200013233672928,-0.12523619585217852,Elmer Smith,0,0,0,0
3118,2.637168880153587e-07,0.0005249746740129413,-0.1026822592189948,Frank Smith,0,0,0,0
3119,2.293346820358263e-05,0.003575507690360445,-0.3663513995088507,Germany Smith,0,0,0,0
3120,1.4788680145338926e-07,0.00044643663840954076,-0.08338683237681765,Harry Smith,0,0,0,0
3121,3.5163145611696065e-08,0.0002631809109038846,-0.05296258298782352,Hal Smith,0,0,0,0
3122,0.007087614564820768,0.01628816005068986,2.9981794875714964,Hilton Smith,1,1,0,1
3123,3.033623812832755e-06,0.0020124164788400314,-0.17774367129886917,Jack Smith,0,0,0,0
3125,2.967084479555131e-05,0.011413741885580943,-0.23230997837454678,Lonnie Smith,0,0,0,0
3128,5.375807919459107e-06,0.0025485341465714658,-0.21019974109096196,Pop Smith,0,0,0,0
3129,0.0007966775231598728,0.04612247278395673,-0.5882215708084315,Reggie Smith,0,0,1,1
3131,8.340622380214473e-07,0.0009062648115485103,-0.1389582819651701,Sherry Smith,0,0,0,0
3135,0.0007752195424001321,0.04927240532778411,0.5604645798593387,Duke Snider,1,0,1,1
3136,0.00013122033646547468,0.014883207192278623,-0.42707664089556635,Felton Snow,0,0,0,0
3139,4.624987491129078e-06,0.0031738335617046845,-0.17465562181046154,Frank Snyder,0,0,0,0
3140,1.1982344796861886e-05,0.0025602465317286914,-0.31309994906566624,Pop Snyder,0,0,0,0
3141,1.7782670132818863e-07,0.000576556158651539,-0.08045667711750518,Russ Snyder,0,0,0,0
3144,1.44951604591828e-07,0.0004499903621653346,-0.0822283960062776,Eddie Solomon,0,0,0,0
