game_date,batter,pitcher,events,description,release_speed,launch_speed,estimated_woba_using_speedangle
2015-04-05,445055,452657,strikeout,called_strike,83.6,,0.0
2015-04-05,445055,452657,,ball,91.6,,
2015-04-05,445055,452657,,foul,87.3,,
2015-04-05,445055,452657,,foul,85.6,,
2015-04-05,445055,452657,,ball,84.2,,
2015-04-05,445055,452657,,foul,89.7,,
2015-04-05,543939,452657,force_out,hit_into_play,87.4,82.9,0.082
2015-04-05,543939,452657,,foul,92.4,,
2015-04-05,543939,452657,,swinging_strike,91.4,,
2015-04-05,543939,452657,,swinging_strike,89.8,,
2015-04-05,543939,452657,,ball,87.8,,
2015-04-05,425877,452657,walk,ball,90.0,,0.686843
2015-04-05,425877,452657,,swinging_strike,89.8,,
2015-04-05,425877,452657,,ball,91.4,,
2015-04-05,425877,452657,,ball,80.7,,
2015-04-05,425877,452657,,ball,90.3,,
2015-04-05,519203,425794,strikeout,foul_tip,76.8,,0.0
2015-04-05,519203,425794,,called_strike,74.3,,
2015-04-05,519203,425794,,blocked_ball,84.3,,
2015-04-05,519203,425794,,ball,89.4,,
2015-04-05,519203,425794,,called_strike,74.9,,
2015-04-05,519203,425794,,blocked_ball,76.7,,
2015-04-05,624585,425794,strikeout,swinging_strike,85.9,,0.0
2015-04-05,624585,425794,,ball,90.0,,
2015-04-05,624585,425794,,foul,77.2,55.3,
2015-04-05,624585,425794,,ball,77.6,,
2015-04-05,624585,425794,,called_strike,86.7,,
2015-04-05,624585,425794,,blocked_ball,77.2,,
2015-04-05,624585,425794,,swinging_strike,74.4,,
2015-04-05,451594,425794,field_out,hit_into_play,90.6,76.9,0.075
2015-04-05,451594,425794,,ball,77.1,,
2015-04-05,451594,425794,,blocked_ball,77.1,,
2015-04-05,451594,425794,,foul,86.3,,
2015-04-05,451594,425794,,ball,75.4,,
2015-04-05,451594,425794,,called_strike,89.3,,
2015-04-05,600303,425794,single,hit_into_play,87.1,81.9,0.563
2015-04-05,600303,425794,,foul,89.8,88.8,
2015-04-05,600303,425794,,ball,76.1,,
2015-04-05,600303,425794,,foul,86.5,81.1,
2015-04-05,600303,425794,,called_strike,89.2,,
2015-04-05,600303,425794,,ball,87.0,,
2015-04-05,600303,425794,,ball,87.8,,
2015-04-05,571431,452657,field_out,hit_into_play,86.9,81.3,0.08
2015-04-05,571431,452657,,ball,74.0,,
2015-04-05,571431,452657,,ball,76.1,,
2015-04-05,425509,452657,strikeout,called_strike,92.7,,0.0
2015-04-05,425509,452657,,ball,91.9,,
2015-04-05,425509,452657,,foul,89.2,95.3,
2015-04-05,425509,452657,,called_strike,76.5,,
2015-04-05,407812,452657,field_out,hit_into_play,89.4,88.5,0.116
2015-04-05,407812,452657,,foul,92.4,,
2015-04-05,407812,452657,,foul,76.6,,
2015-04-05,407812,452657,,called_strike,87.4,,
2015-04-05,407812,452657,,foul,87.8,,
2015-04-05,407812,452657,,ball,91.1,,
2015-04-05,407812,452657,,ball,91.1,,
2015-04-05,518792,452657,double,hit_into_play,91.7,76.4,0.097
2015-04-05,452657,425794,strikeout,called_strike,90.3,,0.0
2015-04-05,452657,425794,,foul,86.9,88.8,
2015-04-05,452657,425794,,called_strike,87.3,,
2015-04-05,424325,425794,field_out,hit_into_play,89.8,99.2,0.804
2015-04-05,424325,425794,,foul,87.3,,
2015-04-05,592609,425794,strikeout,swinging_strike_blocked,77.1,,0.0
2015-04-05,592609,425794,,foul,91.9,,
2015-04-05,592609,425794,,ball,84.1,,
2015-04-05,592609,425794,,blocked_ball,78.7,,
2015-04-05,592609,425794,,called_strike,89.9,,
2015-04-05,592609,425794,,foul,86.8,,
2015-04-05,592609,425794,,blocked_ball,90.6,,
2015-04-05,458085,425794,double,hit_into_play,87.8,85.0,0.19
2015-04-05,458085,425794,,ball,90.6,,
2015-04-05,458085,425794,,ball,85.6,,
2015-04-05,518792,452657,truncated_pa,ball,88.7,,
2015-04-05,572761,452657,single,hit_into_play,88.1,83.6,0.829
2015-04-05,425794,452657,strikeout,called_strike,91.1,,0.0
2015-04-05,425794,452657,,foul,75.5,,
2015-04-05,425794,452657,,foul,87.4,,
2015-04-05,425794,452657,,foul,90.2,,
2015-04-05,425794,452657,,foul_bunt,89.0,,
2015-04-05,425794,452657,,foul_bunt,92.5,,
2015-04-05,445055,452657,single,hit_into_play,87.4,,
2015-04-05,445055,452657,,foul,91.3,,
2015-04-05,445055,452657,,foul,91.1,,
2015-04-05,543939,452657,walk,ball,89.6,,0.686843
2015-04-05,543939,452657,,foul,92.0,,
2015-04-05,543939,452657,,swinging_strike,91.0,,
2015-04-05,543939,452657,,ball,92.3,,
2015-04-05,543939,452657,,ball,76.1,,
2015-04-05,543939,452657,,ball,93.4,,
2015-04-05,543939,452657,,swinging_strike,91.8,,
2015-04-05,425877,452657,strikeout,swinging_strike,92.0,,0.0
2015-04-05,425877,452657,,swinging_strike,83.7,,
2015-04-05,425877,452657,,swinging_strike,87.5,,
2015-04-05,425877,452657,,ball,87.9,,
2015-04-05,516770,425794,field_out,hit_into_play,88.1,,
2015-04-05,516770,425794,,foul,92.3,,
2015-04-05,516770,425794,,ball,76.5,,
2015-04-05,516770,425794,,blocked_ball,89.4,,
2015-04-05,519203,425794,strikeout,called_strike,84.9,,0.0
2015-04-05,519203,425794,,blocked_ball,78.1,,
2015-04-05,519203,425794,,called_strike,92.4,,
2015-04-05,519203,425794,,swinging_strike,88.6,,
2015-04-05,519203,425794,,blocked_ball,77.0,,
2015-04-05,624585,425794,field_out,hit_into_play,89.9,,
2015-04-05,624585,425794,,swinging_strike,87.8,,
2015-04-05,624585,425794,,blocked_ball,76.6,,
2015-04-05,624585,425794,,foul,92.2,,
2015-04-05,451594,425794,double,hit_into_play,88.1,,
2015-04-05,451594,425794,,ball,90.1,,
2015-04-05,571431,452657,strikeout,swinging_strike,89.9,,0.0
2015-04-05,571431,452657,,foul,93.0,,
2015-04-05,571431,452657,,foul,91.7,,
2015-04-05,571431,452657,,foul,93.8,,
2015-04-05,571431,452657,,ball,92.2,,
2015-04-05,425509,452657,strikeout,swinging_strike,76.8,,0.0
2015-04-05,425509,452657,,foul,91.2,,
2015-04-05,425509,452657,,foul,91.1,,
2015-04-05,407812,452657,single,hit_into_play,93.2,,
2015-04-05,407812,452657,,ball,89.9,,
2015-04-05,407812,452657,,ball,92.7,,
2015-04-05,518792,452657,double,hit_into_play,89.9,,
2015-04-05,518792,452657,,ball,94.0,,
2015-04-05,572761,452657,field_out,hit_into_play,93.6,,
2015-04-05,572761,452657,,ball,75.9,,
2015-04-05,572761,452657,,ball,91.6,,
2015-04-05,572761,452657,,foul,94.8,,
2015-04-05,572761,452657,,swinging_strike,93.4,,
2015-04-05,572761,452657,,called_strike,93.6,,
