pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2015-04-05,85.7,-2.3,5.69,"Rondón, Héctor",407812,444468,,ball,,,,,14,,R,R,R,CHC,STL,B,,,1,2,2015,0.4,-0.33,1.2900813136215343,0.4070652390066835,,,,2,9,Top,,,,,,150405_221409,7.532790857420924,-125.40765766092596,-4.188775979901719,2.421,26.863,-34.624,3.67,1.82,,,,84.8,704,5.9,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,,,,,,,,71,5,Slider,0,3,3,0,3,0,3,0,Standard,Standard,,-0.001,0.035,,,,-0.035,,-3,3,0.042,0.958,27,35,27,35,1,4,,,3,3,3.51,-0.4,-0.4,,,,,,
FF,2015-04-05,96.0,-1.99,5.89,"Rondón, Héctor",407812,444468,,foul,,,,,12,,R,R,R,CHC,STL,S,,,1,2,2015,-0.93,1.41,0.848610419552658,3.040273028547392,,,,2,9,Top,,,,,,150405_221349,9.96762431184231,-140.47488759205325,-4.5296016040388976,-14.26,34.603,-13.258,3.67,1.82,,,,95.2,2043,6.0,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,,,,,,,,71,4,4-Seam Fastball,0,3,3,0,3,0,3,0,,,,0.0,0.0,,,,0.0,,-3,3,0.042,0.958,27,35,27,35,1,4,,,3,3,1.13,0.93,0.93,,,,,,
SI,2015-04-05,94.9,-2.38,5.75,"Rondón, Héctor",407812,444468,,ball,,,,,11,,R,R,R,CHC,STL,B,,,0,2,2015,-1.0,0.88,-1.5348899551817854,4.500883688069856,,,,2,9,Top,,,,,,150405_221330,4.8350148994364055,-139.22744316046317,1.2288722896211848,-13.65,35.447,-21.595,3.67,1.82,,,,94.1,2076,6.0,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,,,,,,,,71,3,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,,0.0,0.019,,,,-0.019,,-3,3,0.042,0.958,27,35,27,35,1,4,,,3,3,1.72,1.0,1.0,,,,,,
FF,2015-04-05,95.5,-2.18,5.82,"Rondón, Héctor",407812,444468,,foul,,,,,5,,R,R,R,CHC,STL,S,,,0,1,2015,-0.75,1.38,0.0989017392266174,2.9555262841158583,,,,2,9,Top,,,,,,150405_221303,7.966654875927255,-139.73207454267614,-4.483251196195423,-11.251,31.436,-13.729,3.67,1.82,319,91.9,40,95.5,2071,6.2,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,,,,,,,,71,2,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,,0.001,-0.056,,,,0.056,91.9,-3,3,0.041,0.959,27,35,27,35,1,4,,,3,3,1.17,0.75,0.75,,,,,,
SL,2015-04-05,84.5,-2.13,5.86,"Rondón, Héctor",407812,444468,,swinging_strike,,,,,6,,R,R,R,CHC,STL,S,,,0,0,2015,0.85,0.09,0.3536180922788251,2.886800189194365,,,,2,9,Top,,,,,,150405_221247,3.803069321714398,-123.9190556815214,0.4276971906556522,7.652,25.734,-31.348,3.67,1.82,,,,83.8,2330,5.8,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,,,,,,,,71,1,Slider,0,3,3,0,3,0,3,0,Standard,Standard,,0.0,-0.043,,,,0.043,,-3,3,0.041,0.959,27,35,27,35,1,4,,,3,3,3.16,-0.85,-0.85,,,,,,
FF,2015-04-05,96.1,-1.95,5.78,"Rondón, Héctor",518792,444468,field_out,hit_into_play,,,,,12,Jason Heyward lines out softly to shortstop Starlin Castro.,R,L,R,CHC,STL,X,6,line_drive,1,1,2015,-0.77,1.68,0.8363082191061515,2.8901523828363977,,,,1,9,Top,121.2,146.66,,,,150405_221201,9.407950629699096,-140.6038363950287,-5.369123573183068,-12.134,35.997,-9.549,3.45,1.59,177,61.7,23,95.4,2150,6.2,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,0.533,0.48,0.0,1,0,0,4,70,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,,0.003,-0.233,,,0.533,0.233,88.0,-3,3,0.038,0.962,27,25,27,26,1,4,,,3,3,0.86,0.77,-0.77,,,,,,
SI,2015-04-05,94.8,-2.21,5.82,"Rondón, Héctor",518792,444468,,called_strike,,,,,13,,R,L,R,CHC,STL,S,,,1,0,2015,-1.31,0.96,-1.0017506499120208,2.325510194089675,,,,1,9,Top,,,,,,150405_221146,6.573454224853354,-138.91272763861488,-4.856032436592995,-17.787,33.293,-19.125,3.45,1.59,,,,94.2,1962,6.0,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,,,,,,,,70,2,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,,0.0,-0.05,,,,0.05,,-3,3,0.038,0.962,27,25,27,26,1,4,,,3,3,1.63,1.31,-1.31,,,,,,
FF,2015-04-05,95.0,-2.01,5.83,"Rondón, Héctor",518792,444468,,ball,,,,,12,,R,L,R,CHC,STL,B,,,0,0,2015,-0.39,1.6,1.2175090739593817,2.8032886944721596,,,,1,9,Top,,,,,,150405_221133,9.459860722785152,-138.96324678129827,-5.302965170183197,-7.101,33.75,-11.105,3.45,1.59,,,,94.7,2078,6.3,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,,,,,,,,70,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,,0.0,0.038,,,,-0.038,,-3,3,0.038,0.962,27,25,27,26,1,4,,,3,3,1.0,0.39,-0.39,,,,,,
FF,2015-04-05,94.8,-2.11,5.76,"Rondón, Héctor",572761,444468,field_out,hit_into_play,,,,,4,Matt Carpenter flies out to left fielder Chris Coghlan.,R,L,R,CHC,STL,X,7,fly_ball,3,2,2015,-0.7,1.07,-0.2788907437273036,2.6551091514973244,,,,0,9,Top,81.9,89.09,,,,150405_221055,6.620924434287078,-138.9735941860899,-4.122669727533475,-10.302,34.284,-17.912,3.56,1.72,331,94.4,35,94.8,2086,6.4,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,0.1,0.175,0.0,1,0,0,3,69,6,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,,0.005,-0.323,,,0.325,0.323,94.4,-3,3,0.033,0.967,27,29,27,30,1,4,,,3,3,1.53,0.7,-0.7,,,,,,
SL,2015-04-05,85.2,-2.42,5.8,"Rondón, Héctor",572761,444468,,ball,,,,,14,,R,L,R,CHC,STL,B,,,2,2,2015,0.11,-0.49,1.1306516795977786,-0.908186498091928,,,,0,9,Top,,,,,,150405_221029,8.05805454801832,-124.53619805100844,-7.000535198139372,-0.663,27.871,-35.458,3.56,1.72,,,,84.4,,6.1,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,,,,,,,,69,5,Slider,0,3,3,0,3,0,3,0,Standard,Standard,,-0.002,0.1,,,,-0.1,,-3,3,0.035,0.965,27,29,27,30,1,4,,,3,3,3.73,-0.11,0.11,,,,,,
